Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80637I53470,Intel,Core i5-3470,228,61,102661,https://cpu.userbenchmark.com/Intel-Core-i5-3470/Rating/2771
CPU,,AMD,Ryzen 7 3750H,229,60.8,4342,https://cpu.userbenchmark.com/SpeedTest/786211/AMD-Ryzen-7-3750H-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i7-7567U,230,60.8,1139,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz
CPU,,Intel,Xeon X5690,231,60.7,1795,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz
CPU,,Intel,Core i5-8350U,232,60.7,6202,https://cpu.userbenchmark.com/SpeedTest/388461/IntelR-CoreTM-i5-8350U-CPU---170GHz
CPU,,Intel,Xeon E5-1620 0,233,60.7,6884,https://cpu.userbenchmark.com/SpeedTest/2930/IntelR-XeonR-CPU-E5-1620-0---360GHz
CPU,,Intel,Xeon E5-2690 v2,234,60.6,390,https://cpu.userbenchmark.com/SpeedTest/13436/IntelR-XeonR-CPU-E5-2690-v2---300GHz
CPU,,Intel,Xeon E3-1265L v3,235,60.6,94,https://cpu.userbenchmark.com/SpeedTest/20266/IntelR-XeonR-CPU-E3-1265L-v3---250GHz
CPU,,Intel,Core i7 X 000,236,60.4,90,https://cpu.userbenchmark.com/SpeedTest/2446/IntelR-CoreTM-i7-CPU-------X-000----333GHz
CPU,BX80677I37100,Intel,Core i3-7100,237,60.4,39481,https://cpu.userbenchmark.com/Intel-Core-i3-7100/Rating/3891
CPU,,AMD,Ryzen 5 3550H,238,60.3,5868,https://cpu.userbenchmark.com/SpeedTest/718601/AMD-Ryzen-5-3550H-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Xeon E3-1230 V2,239,60.3,3718,https://cpu.userbenchmark.com/SpeedTest/652/IntelR-XeonR-CPU-E3-1230-V2---330GHz
CPU,BX80684G5500,Intel,Pentium Gold G5500,240,60.3,451,https://cpu.userbenchmark.com/SpeedTest/484140/IntelR-PentiumR-Gold-G5500-CPU---380GHz
CPU,,Intel,Core i7-4960HQ,241,60.2,204,https://cpu.userbenchmark.com/SpeedTest/9629/IntelR-CoreTM-i7-4960HQ-CPU---260GHz
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,242,60.2,39797,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922
CPU,,Intel,Core i7-4810MQ,243,60.2,13990,https://cpu.userbenchmark.com/SpeedTest/7168/IntelR-CoreTM-i7-4810MQ-CPU---280GHz
CPU,,Intel,Core i7-4910MQ,244,59.9,3138,https://cpu.userbenchmark.com/SpeedTest/9700/IntelR-CoreTM-i7-4910MQ-CPU---290GHz
CPU,BX80647I74900MQ,Intel,Core i7-4900MQ,245,59.9,3354,https://cpu.userbenchmark.com/Intel-Core-i7-4900MQ/Rating/1994
CPU,,Intel,Xeon W3680,246,59.6,2216,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,,Intel,Core i7-3920XM,247,59.5,398,https://cpu.userbenchmark.com/SpeedTest/5061/IntelR-CoreTM-i7-3920XM-CPU---290GHz
CPU,BX80646I54460,Intel,Core i5-4460,248,59.5,138513,https://cpu.userbenchmark.com/Intel-Core-i5-4460/Rating/2310
CPU,,Intel,Core i7-4770T,249,59.4,358,https://cpu.userbenchmark.com/SpeedTest/4415/IntelR-CoreTM-i7-4770T-CPU---250GHz
CPU,,Intel,Core i7-8550U,250,59.4,91755,https://cpu.userbenchmark.com/SpeedTest/320742/IntelR-CoreTM-i7-8550U-CPU---180GHz
CPU,,Intel,Core i7-3940XM,251,59.3,863,https://cpu.userbenchmark.com/SpeedTest/7092/IntelR-CoreTM-i7-3940XM-CPU---300GHz
CPU,,Intel,Core i3-10110U,252,59.3,51,https://cpu.userbenchmark.com/SpeedTest/915083/IntelR-CoreTM-i3-10110U-CPU---210GHz
CPU,,Intel,Core i7-6820HQ,253,59.3,13988,https://cpu.userbenchmark.com/SpeedTest/43500/IntelR-CoreTM-i7-6820HQ-CPU---270GHz
CPU,BX80662I56400,Intel,Core i5-6400,254,59.2,93592,https://cpu.userbenchmark.com/Intel-Core-i5-6400/Rating/3512
CPU,BX80662I36300,Intel,Core i3-6300,255,59,2369,https://cpu.userbenchmark.com/Intel-Core-i3-6300/Rating/3536
CPU,,Intel,Core i5-3450,256,59,19342,https://cpu.userbenchmark.com/SpeedTest/161/IntelR-CoreTM-i5-3450-CPU---310GHz
CPU,,Intel,Core i7 980,257,59,1036,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,,Intel,Core i5-2500,258,59,42306,https://cpu.userbenchmark.com/SpeedTest/517/IntelR-CoreTM-i5-2500-CPU---330GHz
CPU,,Intel,Core i5-7300HQ,259,58.9,94577,https://cpu.userbenchmark.com/SpeedTest/223877/IntelR-CoreTM-i5-7300HQ-CPU---250GHz
CPU,,Intel,Core i5-3475S,260,58.8,603,https://cpu.userbenchmark.com/SpeedTest/10117/IntelR-CoreTM-i5-3475S-CPU---290GHz
CPU,BX80677G4620,Intel,Pentium G4620,261,58.8,2035,https://cpu.userbenchmark.com/Intel-Pentium-G4620/Rating/3895
CPU,BX80684G5400,Intel,Pentium Gold G5400,262,58.5,5314,https://cpu.userbenchmark.com/SpeedTest/484278/IntelR-PentiumR-Gold-G5400-CPU---370GHz
CPU,,Intel,Core i7 X 980,263,58.4,4276,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz
CPU,,Intel,Xeon E31270,264,58.4,1134,https://cpu.userbenchmark.com/SpeedTest/5604/IntelR-XeonR-CPU-E31270---340GHz
CPU,,Intel,Xeon E3-1220 V2,265,58.1,1339,https://cpu.userbenchmark.com/SpeedTest/3482/IntelR-XeonR-CPU-E3-1220-V2---310GHz
CPU,FH8068403419422,Intel,Core i3-8109U,266,58.1,492,https://cpu.userbenchmark.com/SpeedTest/609620/IntelR-CoreTM-i3-8109U-CPU---300GHz
CPU,,Intel,Core i5-3470S,267,58,5525,https://cpu.userbenchmark.com/SpeedTest/6387/IntelR-CoreTM-i5-3470S-CPU---290GHz
CPU,,Intel,Core i7-4800MQ,268,57.8,13878,https://cpu.userbenchmark.com/SpeedTest/3437/IntelR-CoreTM-i7-4800MQ-CPU---270GHz
CPU,BX80646I54440,Intel,Core i5-4440,269,57.7,45542,https://cpu.userbenchmark.com/Intel-Core-i5-4440/Rating/1993
CPU,BX80623I72600,Intel,Core i7-2600,270,57.7,90009,https://cpu.userbenchmark.com/Intel-Core-i7-2600/Rating/620
CPU,BX80677I37300T,Intel,Core i3-7300T,271,57.4,37,https://cpu.userbenchmark.com/SpeedTest/230231/IntelR-CoreTM-i3-7300T-CPU---350GHz
CPU,BX80646I34370,Intel,Core i3-4370,272,57,1054,https://cpu.userbenchmark.com/Intel-Core-i3-4370/Rating/2817
CPU,BX80662I36100,Intel,Core i3-6100,273,57,63383,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Core i5-4460S,274,56.9,4803,https://cpu.userbenchmark.com/SpeedTest/14679/IntelR-CoreTM-i5-4460S-CPU---290GHz
CPU,,Intel,Core i7-4720HQ,275,56.8,49332,https://cpu.userbenchmark.com/SpeedTest/20045/IntelR-CoreTM-i7-4720HQ-CPU---260GHz
CPU,,Intel,Core i7-6700HQ,276,56.8,195484,https://cpu.userbenchmark.com/SpeedTest/34954/IntelR-CoreTM-i7-6700HQ-CPU---260GHz
CPU,BX80637I53450S,Intel,Core i5-3450S,277,56.7,805,https://cpu.userbenchmark.com/SpeedTest/2071/IntelR-CoreTM-i5-3450S-CPU---280GHz
CPU,,Intel,Core i5-4570R,278,56.7,553,https://cpu.userbenchmark.com/SpeedTest/6445/IntelR-CoreTM-i5-4570R-CPU---270GHz
CPU,,Intel,Xeon E3-1240,279,56.5,1088,https://cpu.userbenchmark.com/SpeedTest/5243/IntelR-XeonR-CPU-E31240---330GHz
CPU,,Intel,Core i3-8145U,280,56.4,1497,https://cpu.userbenchmark.com/SpeedTest/616038/IntelR-CoreTM-i3-8145U-CPU---210GHz
CPU,BX80677G4600,Intel,Pentium G4600,281,56.2,10652,https://cpu.userbenchmark.com/Intel-Pentium-G4600/Rating/3894
CPU,,Intel,Core i5-2450P,282,56.1,129,https://cpu.userbenchmark.com/SpeedTest/2795/IntelR-CoreTM-i5-2450P-CPU---320GHz
CPU,,Intel,Xeon X5660,283,55.9,3503,https://cpu.userbenchmark.com/SpeedTest/17750/IntelR-XeonR-CPU-----------X5660----280GHz
CPU,,Intel,Core i5-4430,284,55.8,13592,https://cpu.userbenchmark.com/SpeedTest/1920/IntelR-CoreTM-i5-4430-CPU---300GHz
CPU,,Intel,Core i7-3840QM,285,55.7,2929,https://cpu.userbenchmark.com/SpeedTest/2451/IntelR-CoreTM-i7-3840QM-CPU---280GHz
CPU,,Intel,Core i5-8250U,286,55.7,115973,https://cpu.userbenchmark.com/SpeedTest/338266/IntelR-CoreTM-i5-8250U-CPU---160GHz
CPU,,Intel,Core i7-4770HQ,287,55.7,967,https://cpu.userbenchmark.com/SpeedTest/18784/IntelR-CoreTM-i7-4770HQ-CPU---220GHz
CPU,,Intel,Core i3-6098P,288,55.5,2806,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz
CPU,,Intel,Core i7-3820QM,289,55.4,1789,https://cpu.userbenchmark.com/SpeedTest/4339/IntelR-CoreTM-i7-3820QM-CPU---270GHz
CPU,,Intel,Core i7 970,290,55.4,2256,https://cpu.userbenchmark.com/SpeedTest/8374/IntelR-CoreTM-i7-CPU---------970----320GHz
CPU,,Intel,Core i7-4710MQ,291,55.2,14409,https://cpu.userbenchmark.com/SpeedTest/9397/IntelR-CoreTM-i7-4710MQ-CPU---250GHz
CPU,,Intel,Xeon E5-2643 0,292,55.2,392,https://cpu.userbenchmark.com/SpeedTest/3389/IntelR-XeonR-CPU-E5-2643-0---330GHz
CPU,,Intel,Xeon E31225,293,55.1,1530,https://cpu.userbenchmark.com/SpeedTest/4210/IntelR-XeonR-CPU-E31225---310GHz
CPU,,Intel,Core i5-3350P,294,55.1,13826,https://cpu.userbenchmark.com/SpeedTest/3018/IntelR-CoreTM-i5-3350P-CPU---310GHz
CPU,,Intel,Core i7-4850HQ,295,55.1,557,https://cpu.userbenchmark.com/SpeedTest/7877/IntelR-CoreTM-i7-4850HQ-CPU---230GHz
CPU,,Intel,Xeon E31230,296,55,1054,https://cpu.userbenchmark.com/SpeedTest/6750/IntelR-XeonR-CPU-E31230---320GHz
CPU,,Intel,Core i7-3740QM,297,55,8451,https://cpu.userbenchmark.com/SpeedTest/2919/IntelR-CoreTM-i7-3740QM-CPU---270GHz
CPU,,Intel,Core i7-4722HQ,298,54.9,147,https://cpu.userbenchmark.com/SpeedTest/32895/IntelR-CoreTM-i7-4722HQ-CPU---240GHz
CPU,,Intel,Core i5-3340,299,54.9,4414,https://cpu.userbenchmark.com/SpeedTest/2710/IntelR-CoreTM-i5-3340-CPU---310GHz
CPU,,Intel,Xeon E31220,300,54.9,1297,https://cpu.userbenchmark.com/SpeedTest/6171/IntelR-XeonR-CPU-E31220---310GHz
CPU,BX80623I52400,Intel,Core i5-2400,301,54.7,82944,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803
CPU,,Intel,Core i7-7660U,302,54.6,1930,https://cpu.userbenchmark.com/SpeedTest/274151/IntelR-CoreTM-i7-7660U-CPU---250GHz
CPU,BX80677I57400T,Intel,Core i5-7400T,303,54.6,1619,https://cpu.userbenchmark.com/SpeedTest/244917/IntelR-CoreTM-i5-7400T-CPU---240GHz
CPU,BX80646I34360,Intel,Core i3-4360,304,54.6,1124,https://cpu.userbenchmark.com/Intel-Core-i3-4360/Rating/2819
CPU,,Intel,Core i7-4700HQ,305,54.4,27882,https://cpu.userbenchmark.com/Intel-Core-i7-4700HQ/Rating/2728
CPU,,AMD,Ryzen 5 3500U,306,54.4,5945,https://cpu.userbenchmark.com/SpeedTest/760067/AMD-Ryzen-5-3500U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i7-3720QM,307,54.4,7074,https://cpu.userbenchmark.com/SpeedTest/1619/IntelR-CoreTM-i7-3720QM-CPU---260GHz
CPU,,Intel,Core i7-4710HQ,308,54.3,49769,https://cpu.userbenchmark.com/SpeedTest/11499/IntelR-CoreTM-i7-4710HQ-CPU---250GHz
CPU,,AMD,Ryzen 3 3300U,309,54.1,196,https://cpu.userbenchmark.com/SpeedTest/827713/AMD-Ryzen-3-3300U-with-Radeon-Vega-Mobile-Gfx
CPU,BX80646I34170,Intel,Core i3-4170,310,54.1,25089,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,,Intel,Xeon X5650,311,54,7249,https://cpu.userbenchmark.com/SpeedTest/355/IntelR-XeonR-CPU-----------X5650----267GHz
CPU,CW8064701470702,Intel,Core i7-4700MQ,312,53.8,45341,https://cpu.userbenchmark.com/Intel-Core-i7-4700MQ/Rating/2727
CPU,BX80677G4560,Intel,Pentium G4560,313,53.8,45985,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892
CPU,BX80646I34350,Intel,Core i3-4350,314,53.6,319,https://cpu.userbenchmark.com/Intel-Core-i3-4350/Rating/2433
CPU,,Intel,Core i5-3330,315,53.5,26053,https://cpu.userbenchmark.com/SpeedTest/10/IntelR-CoreTM-i5-3330-CPU---300GHz
CPU,BX80662I36300T,Intel,Core i3-6300T,316,53.4,72,https://cpu.userbenchmark.com/SpeedTest/75733/IntelR-CoreTM-i3-6300T-CPU---330GHz
CPU,,Intel,Core i5-6300HQ,317,53.3,30620,https://cpu.userbenchmark.com/SpeedTest/38166/IntelR-CoreTM-i5-6300HQ-CPU---230GHz
CPU,BX80621E52670,Intel,Xeon E5-2670,318,53.3,2505,https://cpu.userbenchmark.com/SpeedTest/18501/IntelR-XeonR-CPU-E5-2670-0---260GHz
CPU,BX80646I34340,Intel,Core i3-4340,319,53.2,500,https://cpu.userbenchmark.com/Intel-Core-i3-4340/Rating/2877
CPU,,Intel,Core i5-7260U,320,53.1,1385,https://cpu.userbenchmark.com/SpeedTest/269906/IntelR-CoreTM-i5-7260U-CPU---220GHz
CPU,,Intel,Xeon E5-2630 v3,321,53.1,662,https://cpu.userbenchmark.com/SpeedTest/22651/IntelR-XeonR-CPU-E5-2630-v3---240GHz
CPU,BX80646I34160,Intel,Core i3-4160,322,53.1,25666,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,FD9590FHHKWOF,AMD,FX-9590,323,53.1,16446,https://cpu.userbenchmark.com/AMD-FX-9590/Rating/1812
CPU,,AMD,Ryzen 7 3700U,324,53,1307,https://cpu.userbenchmark.com/SpeedTest/765724/AMD-Ryzen-7-3700U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Xeon W3570,325,53,283,https://cpu.userbenchmark.com/SpeedTest/12630/IntelR-XeonR-CPU-----------W3570----320GHz
CPU,,Intel,Core i5-2320,326,52.8,19716,https://cpu.userbenchmark.com/SpeedTest/1735/IntelR-CoreTM-i5-2320-CPU---300GHz
CPU,,Intel,Core i7 975,327,52.8,1702,https://cpu.userbenchmark.com/SpeedTest/941/IntelR-CoreTM-i7-CPU---------975----333GHz
CPU,BX80677I37100T,Intel,Core i3-7100T,328,52.6,1065,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz
CPU,,Intel,Core i7-7560U,329,52.5,922,https://cpu.userbenchmark.com/SpeedTest/262014/IntelR-CoreTM-i7-7560U-CPU---240GHz
CPU,,Intel,Core i7-7600U,330,52.1,5650,https://cpu.userbenchmark.com/SpeedTest/220838/IntelR-CoreTM-i7-7600U-CPU---280GHz
CPU,BX80662G4520,Intel,Pentium G4520,331,51.8,204,https://cpu.userbenchmark.com/Intel-Pentium-G4520/Rating/3537
CPU,,Intel,Core i7-2600S,332,51.8,1567,https://cpu.userbenchmark.com/SpeedTest/6489/IntelR-CoreTM-i7-2600S-CPU---280GHz
CPU,,Intel,Xeon W3565,333,51.7,3535,https://cpu.userbenchmark.com/SpeedTest/6324/IntelR-XeonR-CPU-----------W3565----320GHz
CPU,AW8063801106200,Intel,Core i7-3630QM,334,51.5,40209,https://cpu.userbenchmark.com/Intel-Core-i7-3630QM/Rating/626
CPU,BX80646I34150,Intel,Core i3-4150,335,51.4,20296,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,,Intel,Core i7 880,336,51.3,358,https://cpu.userbenchmark.com/SpeedTest/15321/IntelR-CoreTM-i7-CPU---------880----307GHz
CPU,,Intel,Xeon X5667,337,51.3,190,https://cpu.userbenchmark.com/SpeedTest/21709/IntelR-XeonR-CPU-----------X5667----307GHz
CPU,BX80646I34330,Intel,Core i3-4330,338,51.2,3558,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,,Intel,Core i5-2500S,339,51.1,1284,https://cpu.userbenchmark.com/SpeedTest/1699/IntelR-CoreTM-i5-2500S-CPU---270GHz
CPU,,Intel,Core i7-7500U,340,51.1,76401,https://cpu.userbenchmark.com/SpeedTest/171274/IntelR-CoreTM-i7-7500U-CPU---270GHz
CPU,,Intel,Core i7-5557U,341,51,988,https://cpu.userbenchmark.com/SpeedTest/27386/IntelR-CoreTM-i7-5557U-CPU---310GHz
CPU,,Intel,Core i5-2310,342,50.9,8653,https://cpu.userbenchmark.com/SpeedTest/2055/IntelR-CoreTM-i5-2310-CPU---290GHz
CPU,BX80662I36100T,Intel,Core i3-6100T,343,50.9,2685,https://cpu.userbenchmark.com/SpeedTest/40317/IntelR-CoreTM-i3-6100T-CPU---320GHz
CPU,,Intel,Core i7-6567U,344,50.8,282,https://cpu.userbenchmark.com/SpeedTest/150864/IntelR-CoreTM-i7-6567U-CPU---330GHz
CPU,CM8068403377713,Intel,Pentium G5500T,345,50.7,21,https://cpu.userbenchmark.com/SpeedTest/519437/IntelR-PentiumR-Gold-G5500T-CPU---320GHz
CPU,,Intel,Core i7-4712HQ,346,50.4,3388,https://cpu.userbenchmark.com/SpeedTest/10973/IntelR-CoreTM-i7-4712HQ-CPU---230GHz
CPU,,Intel,Core i5-3330S,347,50.3,2108,https://cpu.userbenchmark.com/SpeedTest/4366/IntelR-CoreTM-i5-3330S-CPU---270GHz
CPU,BX80646I34130,Intel,Core i3-4130,348,50.3,25130,https://cpu.userbenchmark.com/Intel-Core-i3-4130/Rating/1621
CPU,,Intel,Xeon X3470,349,50.2,3654,https://cpu.userbenchmark.com/SpeedTest/24530/IntelR-XeonR-CPU-----------X3470----293GHz
CPU,,Intel,Core i7-4750HQ,350,50.2,3509,https://cpu.userbenchmark.com/SpeedTest/3709/IntelR-CoreTM-i7-4750HQ-CPU---200GHz
CPU,,Intel,Core i7 960,351,50.1,10471,https://cpu.userbenchmark.com/SpeedTest/778/IntelR-CoreTM-i7-CPU---------960----320GHz
CPU,,Intel,Core i5-2300,352,50,9992,https://cpu.userbenchmark.com/SpeedTest/291/IntelR-CoreTM-i5-2300-CPU---280GHz
CPU,YD200GC6FBBOX,AMD,Athlon 200GE,353,50,3723,https://cpu.userbenchmark.com/SpeedTest/592714/AMD-Athlon-200GE-with-Radeon-Vega-Graphics
CPU,,AMD,Ryzen 5 2500U,354,50,26866,https://cpu.userbenchmark.com/SpeedTest/378273/AMD-Ryzen-5-2500U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i5-7300U,355,50,10383,https://cpu.userbenchmark.com/SpeedTest/223355/IntelR-CoreTM-i5-7300U-CPU---260GHz
CPU,FD9370FHHKWOF,AMD,FX-9370,356,50,6494,https://cpu.userbenchmark.com/AMD-FX-9370/Rating/2005
CPU,,Intel,Core i7-4702MQ,357,49.9,13324,https://cpu.userbenchmark.com/SpeedTest/2674/IntelR-CoreTM-i7-4702MQ-CPU---220GHz
CPU,,AMD,Ryzen 3 2300U,358,49.9,1424,https://cpu.userbenchmark.com/SpeedTest/511816/AMD-Ryzen-3-2300U-with-Radeon-Vega-Mobile-Gfx
CPU,AW8063801013511,Intel,Core i7-3610QM,359,49.8,22017,https://cpu.userbenchmark.com/Intel-Core-i7-3610QM/Rating/2730
CPU,,Intel,Xeon X5570,360,49.8,702,https://cpu.userbenchmark.com/SpeedTest/12230/IntelR-XeonR-CPU-----------X5570----293GHz
CPU,,Intel,Core i7 K 875,361,49.8,1570,https://cpu.userbenchmark.com/SpeedTest/476/IntelR-CoreTM-i7-CPU-------K-875----293GHz
CPU,,Intel,Core i5-4570T,362,49.7,2276,https://cpu.userbenchmark.com/SpeedTest/6853/IntelR-CoreTM-i5-4570T-CPU---290GHz
CPU,FD8370FRHKBOX,AMD,FX-8370,363,49.6,25280,https://cpu.userbenchmark.com/AMD-FX-8370/Rating/2983
CPU,CM8068403360212,Intel,Pentium G5400T,364,49.5,40,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz
CPU,,Intel,Core i7-4600M,365,49.4,3359,https://cpu.userbenchmark.com/SpeedTest/4429/IntelR-CoreTM-i7-4600M-CPU---290GHz
CPU,,Intel,Xeon W3550,366,49.4,3798,https://cpu.userbenchmark.com/SpeedTest/3628/IntelR-XeonR-CPU-----------W3550----307GHz
CPU,,Intel,Core i7-4610M,367,49.3,2051,https://cpu.userbenchmark.com/SpeedTest/11649/IntelR-CoreTM-i7-4610M-CPU---300GHz
CPU,,Intel,Pentium G3470,368,49.2,95,https://cpu.userbenchmark.com/SpeedTest/28614/IntelR-PentiumR-CPU-G3470---360GHz
CPU,,AMD,Ryzen 7 2700U,369,49.1,3641,https://cpu.userbenchmark.com/SpeedTest/432558/AMD-Ryzen-7-2700U-with-Radeon-Vega-Mobile-Gfx
CPU,FJ8067703282227,Intel,Core i3-8130U,370,49,9258,https://cpu.userbenchmark.com/SpeedTest/468020/IntelR-CoreTM-i3-8130U-CPU---220GHz
CPU,,Intel,Core i7-4702HQ,371,49,2344,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz
CPU,,Intel,Core i7 965,372,49,1001,https://cpu.userbenchmark.com/SpeedTest/4036/IntelR-CoreTM-i7-CPU---------965----320GHz
CPU,,Intel,Core i7-2960XM,373,48.9,486,https://cpu.userbenchmark.com/SpeedTest/2390/IntelR-CoreTM-i7-2960XM-CPU---270GHz
CPU,FD8350FRHKBOX,AMD,FX-8350,374,48.9,231448,https://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489
CPU,BX80601950,Intel,Core i7-950,375,48.6,24164,https://cpu.userbenchmark.com/Intel-Core-i7-950/Rating/617
CPU,,Intel,Core i7-3615QM,376,48.4,1697,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz
CPU,,Intel,Core i7-6650U,377,48.2,3488,https://cpu.userbenchmark.com/SpeedTest/40238/IntelR-CoreTM-i7-6650U-CPU---220GHz
CPU,BX80646G3258,Intel,Pentium G3258,378,48.2,15128,https://cpu.userbenchmark.com/Intel-Pentium-G3258/Rating/2434
CPU,,Intel,Core i7 870,379,48.2,21899,https://cpu.userbenchmark.com/SpeedTest/961/IntelR-CoreTM-i7-CPU---------870----293GHz
CPU,BX80662G4500,Intel,Pentium G4500,380,48.1,1933,https://cpu.userbenchmark.com/Intel-Pentium-G4500/Rating/3538
CPU,,Intel,Core i7-2920XM,381,48.1,538,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz
CPU,AD9800AUABBOX,AMD,A12-9800 APU (2016 M.BR),382,47.9,2065,https://cpu.userbenchmark.com/SpeedTest/283761/AMD-A12-9800-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,,Intel,Core i7-3632QM,383,47.9,16204,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz
CPU,,Intel,Xeon X3460,384,47.6,456,https://cpu.userbenchmark.com/SpeedTest/3739/IntelR-XeonR-CPU-----------X3460----280GHz
CPU,,Intel,Xeon E5-1603 0,385,47.5,1523,https://cpu.userbenchmark.com/SpeedTest/9880/IntelR-XeonR-CPU-E5-1603-0---280GHz
CPU,,Intel,Core i3-3250,386,47.4,2154,https://cpu.userbenchmark.com/SpeedTest/4950/IntelR-CoreTM-i3-3250-CPU---350GHz
CPU,,Intel,Core i5-5287U,387,47.2,257,https://cpu.userbenchmark.com/SpeedTest/25610/IntelR-CoreTM-i5-5287U-CPU---290GHz
CPU,,Intel,Core i3-7167U,388,47.1,23,https://cpu.userbenchmark.com/SpeedTest/357115/IntelR-CoreTM-i3-7167U-CPU---280GHz
CPU,,Intel,Xeon E5-2670 v2,389,47,207,https://cpu.userbenchmark.com/SpeedTest/18414/IntelR-XeonR-CPU-E5-2670-v2---250GHz
CPU,,Intel,Core i7-3635QM,390,47,1985,https://cpu.userbenchmark.com/SpeedTest/2465/IntelR-CoreTM-i7-3635QM-CPU---240GHz
CPU,,Intel,Xeon X5560,391,47,317,https://cpu.userbenchmark.com/SpeedTest/16614/IntelR-XeonR-CPU-----------X5560----280GHz
CPU,,Intel,Xeon X3440,392,47,3110,https://cpu.userbenchmark.com/SpeedTest/6655/IntelR-XeonR-CPU-----------X3440----253GHz
CPU,,Intel,Core i7-6600U,393,46.8,16052,https://cpu.userbenchmark.com/SpeedTest/36828/IntelR-CoreTM-i7-6600U-CPU---260GHz
CPU,,Intel,Xeon X3450,394,46.6,1415,https://cpu.userbenchmark.com/SpeedTest/10439/IntelR-XeonR-CPU-----------X3450----267GHz
CPU,,Intel,Core i7-2860QM,395,46.6,2580,https://cpu.userbenchmark.com/SpeedTest/103/IntelR-CoreTM-i7-2860QM-CPU---250GHz
CPU,,Intel,Core i5-2405S,396,46.5,119,https://cpu.userbenchmark.com/SpeedTest/10048/IntelR-CoreTM-i5-2405S-CPU---250GHz
CPU,,Intel,Core i3-3240,397,46.4,18138,https://cpu.userbenchmark.com/SpeedTest/2133/IntelR-CoreTM-i3-3240-CPU---340GHz
CPU,,Intel,Pentium G3460,398,46.3,768,https://cpu.userbenchmark.com/Intel-Pentium-G3460/Rating/2818
CPU,,Intel,Xeon L5639,399,46.2,80,https://cpu.userbenchmark.com/SpeedTest/5958/IntelR-XeonR-CPU-----------L5639----213GHz
CPU,,Intel,Core i5-7200U,400,46.2,113332,https://cpu.userbenchmark.com/SpeedTest/153577/IntelR-CoreTM-i5-7200U-CPU---250GHz
CPU,,Intel,Core i5-2400S,401,46.1,5102,https://cpu.userbenchmark.com/SpeedTest/304/IntelR-CoreTM-i5-2400S-CPU---250GHz
CPU,,Intel,Core i5-4300M,402,46,6279,https://cpu.userbenchmark.com/SpeedTest/5215/IntelR-CoreTM-i5-4300M-CPU---260GHz
CPU,AD845XACKASBX,AMD,Athlon X4 845,403,45.9,4256,https://cpu.userbenchmark.com/SpeedTest/84491/AMD-Athlontm-X4-845-Quad-Core-Processor
CPU,,Intel,Core i5 760,404,45.9,19254,https://cpu.userbenchmark.com/SpeedTest/717/IntelR-CoreTM-i5-CPU---------760----280GHz
CPU,,Intel,Core i5-3470T,405,45.7,1497,https://cpu.userbenchmark.com/SpeedTest/2220/IntelR-CoreTM-i5-3470T-CPU---290GHz
CPU,,Intel,Core i7-3612QM,406,45.7,7352,https://cpu.userbenchmark.com/SpeedTest/329/IntelR-CoreTM-i7-3612QM-CPU---210GHz
